,name,male,female
671,kevin,1.0,0.0
672,alexandra,0.0,1.0
673,,1.0,1.0
674,john,1.0,0.0
675,abduljalil,1.0,1.0
676,,1.0,1.0
677,bonger,1.0,0.0
678,,1.0,1.0
679,jeromy,1.0,0.0
680,brian,0.0,1.0
681,jaeson,1.0,0.0
682,gregory,1.0,0.0
683,jeff,1.0,0.0
684,chiara,0.0,1.0
685,bob,1.0,0.0
686,david,1.0,0.0
687,,1.0,1.0
688,alan,1.0,0.0
689,hugh,1.0,0.0
690,,1.0,1.0
691,kevin,1.0,0.0
692,alexandra,0.0,1.0
693,,1.0,1.0
694,john,1.0,0.0
695,abduljalil,1.0,1.0
696,,1.0,1.0
697,bonger,1.0,0.0
698,,1.0,1.0
699,jeromy,1.0,0.0
700,brian,0.0,1.0
701,jaeson,1.0,0.0
702,gregory,1.0,0.0
703,jeff,1.0,0.0
704,chiara,0.0,1.0
705,bob,1.0,0.0
706,david,1.0,0.0
707,,1.0,1.0
708,alan,1.0,0.0
709,hugh,1.0,0.0
710,,1.0,1.0
711,stefanie,0.0,1.0
712,zeke,1.0,0.0
713,ian,1.0,0.0
714,connor,0.0,1.0
715,,1.0,1.0
716,nicole,0.0,1.0
717,,1.0,1.0
718,mark,1.0,0.0
719,,1.0,1.0
720,,1.0,1.0
721,,1.0,1.0
722,,1.0,1.0
723,jason,1.0,0.0
724,vishnunath,1.0,1.0
725,k,1.0,0.0
726,dehorb,1.0,1.0
727,z,1.0,0.0
728,,1.0,1.0
729,,1.0,1.0
730,michael,1.0,0.0
731,joo,1.0,1.0
732,,1.0,1.0
733,petar,0.0,1.0
734,justin,1.0,1.0
735,alien,0.0,1.0
